id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained
1,Gameweek 1,2023-08-11T17:30:00Z,0,False,False,,1691775000,0,,False,False,True,False,False,"[{'chip_name': 'bboost', 'num_played': 46434}, {'chip_name': '3xc', 'num_played': 79306}]",,,,,0,,
2,Gameweek 2,2023-08-18T17:15:00Z,0,False,False,,1692378900,0,,False,False,False,False,False,[],,,,,0,,
3,Gameweek 3,2023-08-25T17:30:00Z,0,False,False,,1692984600,0,,False,False,False,False,False,[],,,,,0,,
4,Gameweek 4,2023-09-01T17:30:00Z,0,False,False,,1693589400,0,,False,False,False,False,False,[],,,,,0,,
5,Gameweek 5,2023-09-16T10:00:00Z,0,False,False,,1694858400,0,,False,False,False,False,False,[],,,,,0,,
6,Gameweek 6,2023-09-23T12:30:00Z,0,False,False,,1695472200,0,,False,False,False,False,False,[],,,,,0,,
7,Gameweek 7,2023-09-30T10:00:00Z,0,False,False,,1696068000,0,,False,False,False,False,False,[],,,,,0,,
8,Gameweek 8,2023-10-07T12:30:00Z,0,False,False,,1696681800,0,,False,False,False,False,False,[],,,,,0,,
9,Gameweek 9,2023-10-21T12:30:00Z,0,False,False,,1697891400,0,,False,False,False,False,False,[],,,,,0,,
10,Gameweek 10,2023-10-28T12:30:00Z,0,False,False,,1698496200,0,,False,False,False,False,False,[],,,,,0,,
11,Gameweek 11,2023-11-04T13:30:00Z,0,False,False,,1699104600,0,,False,False,False,False,False,[],,,,,0,,
12,Gameweek 12,2023-11-11T13:30:00Z,0,False,False,,1699709400,0,,False,False,False,False,False,[],,,,,0,,
13,Gameweek 13,2023-11-25T13:30:00Z,0,False,False,,1700919000,0,,False,False,False,False,False,[],,,,,0,,
14,Gameweek 14,2023-12-02T13:30:00Z,0,False,False,,1701523800,0,,False,False,False,False,False,[],,,,,0,,
15,Gameweek 15,2023-12-05T18:15:00Z,0,False,False,,1701800100,0,,False,False,False,False,False,[],,,,,0,,
16,Gameweek 16,2023-12-09T13:30:00Z,0,False,False,,1702128600,0,,False,False,False,False,False,[],,,,,0,,
17,Gameweek 17,2023-12-16T13:30:00Z,0,False,False,,1702733400,0,,False,False,False,False,False,[],,,,,0,,
18,Gameweek 18,2023-12-23T13:30:00Z,0,False,False,,1703338200,0,,False,False,False,False,False,[],,,,,0,,
19,Gameweek 19,2023-12-26T13:30:00Z,0,False,False,,1703597400,0,,False,False,False,False,False,[],,,,,0,,
20,Gameweek 20,2023-12-30T13:30:00Z,0,False,False,,1703943000,0,,False,False,False,False,False,[],,,,,0,,
21,Gameweek 21,2024-01-13T13:30:00Z,0,False,False,,1705152600,0,,False,False,False,False,False,[],,,,,0,,
22,Gameweek 22,2024-01-30T18:15:00Z,0,False,False,,1706638500,0,,False,False,False,False,False,[],,,,,0,,
23,Gameweek 23,2024-02-03T13:30:00Z,0,False,False,,1706967000,0,,False,False,False,False,False,[],,,,,0,,
24,Gameweek 24,2024-02-10T13:30:00Z,0,False,False,,1707571800,0,,False,False,False,False,False,[],,,,,0,,
25,Gameweek 25,2024-02-17T13:30:00Z,0,False,False,,1708176600,0,,False,False,False,False,False,[],,,,,0,,
26,Gameweek 26,2024-02-24T13:30:00Z,0,False,False,,1708781400,0,,False,False,False,False,False,[],,,,,0,,
27,Gameweek 27,2024-03-02T13:30:00Z,0,False,False,,1709386200,0,,False,False,False,False,False,[],,,,,0,,
28,Gameweek 28,2024-03-09T13:30:00Z,0,False,False,,1709991000,0,,False,False,False,False,False,[],,,,,0,,
29,Gameweek 29,2024-03-16T13:30:00Z,0,False,False,,1710595800,0,,False,False,False,False,False,[],,,,,0,,
30,Gameweek 30,2024-03-30T13:30:00Z,0,False,False,,1711805400,0,,False,False,False,False,False,[],,,,,0,,
31,Gameweek 31,2024-04-02T17:15:00Z,0,False,False,,1712078100,0,,False,False,False,False,False,[],,,,,0,,
32,Gameweek 32,2024-04-06T12:30:00Z,0,False,False,,1712406600,0,,False,False,False,False,False,[],,,,,0,,
33,Gameweek 33,2024-04-13T12:30:00Z,0,False,False,,1713011400,0,,False,False,False,False,False,[],,,,,0,,
34,Gameweek 34,2024-04-20T12:30:00Z,0,False,False,,1713616200,0,,False,False,False,False,False,[],,,,,0,,
35,Gameweek 35,2024-04-27T12:30:00Z,0,False,False,,1714221000,0,,False,False,False,False,False,[],,,,,0,,
36,Gameweek 36,2024-05-04T12:30:00Z,0,False,False,,1714825800,0,,False,False,False,False,False,[],,,,,0,,
37,Gameweek 37,2024-05-11T12:30:00Z,0,False,False,,1715430600,0,,False,False,False,False,False,[],,,,,0,,
38,Gameweek 38,2024-05-19T13:30:00Z,0,False,False,,1716125400,0,,False,False,False,False,False,[],,,,,0,,
